site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
SA000813,139.39541,-33.76176,2517.63918294,2054.7447453,462.89443764,19,0.17,0.49,5175.31405377557,7.54876287,1419.10419,0.3,49
GA857,139.702353,-33.539717,1607.49327669,1465.1365182,142.35675849,20.2,0.16,0.33,5426.36707813669,6.71253478,1490.06962,0.3,49
GA_bot382,139.76,-33.306,1792.94505932,1603.123181,189.82187832,20.2,0.16,0.3,5411.30051021626,6.9773555,1492.71238,0.3,49
GA832,140.050412,-33.820767,2827.47887442,2531.202882,296.27599242,20.7,0.15,0.4,4056.19007362984,6.86653279,1471.73745,0.3,49
GA_bot653,140.509,-33.22,2109.60856321,1948.7988194,160.80974381,21.1,0.15,0.25,4714.26919549642,6.7432147,1476.46375,0.3,49
GA_bot486,140.611,-32.854,1998.75814885,1826.1669516,172.59119725,21.5,0.15,0.38,5003.69257221398,6.6678463,1464.64339,0.3,49
DECCW0297,141.672563,-33.910986,1777.77072959,976.84945585,800.92127374,20.9,0.2,0.53,5114.67657784754,7.33160004,1450.02993,0.3,49
DECCW1149,141.675843,-33.913999,2126.8659067,1025.1608996,1101.7050071,20.9,0.21,0.49,4615.86463588319,7.27122327,1475.04862,0.3,49
DECCW0933,141.895715,-33.749176,3349.8281385,1451.2613883,1898.5667502,21,0.19,0.39,2060.28360046986,7.07334218,1374.89933,0.3,49
DECCW0301,142.484594,-33.963763,1664.9487246,1359.0802421,305.8684825,20.6,0.18,0.71,5055.97169568752,7.43395774,1461.09367,0.3,49
DECCW1153,142.485287,-33.961915,2126.38646052,1556.5800815,569.80637902,20.6,0.18,0.64,4908.61479659679,7.34274787,1453.36498,0.3,49
GA_bot491,142.556,-33.137,2112.37521701,1910.8037965,201.57142051,20.9,0.16,0.35,4334.71263454171,7.14163184,1480.70679,0.3,49
DECCW0953,142.682138,-33.015525,1763.23716923,1372.9889398,390.24822943,21.1,0.16,0.39,4501.28028033404,7.08711238,1528.61453,0.3,49
DECCW0929,142.798357,-33.677484,2201.77717368,1737.7349108,464.04226288,21.2,0.16,0.47,5160.30548283411,7.18958276,1481.06626,0.3,49
DECCW1157,142.80001,-33.677099,2155.09311083,1463.5422398,691.55087103,21.2,0.16,0.37,5030.87525591474,7.14606674,1496.05314,0.3,49
DECCW0957,142.890404,-33.24589,1818.12990868,1503.3676824,314.76222628,21.1,0.16,0.41,5017.37282984579,7.24965735,1504.87389,0.3,49
GA_bot449,142.994,-34.17,2109.19933438,1736.5288684,372.67046598,20.4,0.17,0.54,4633.52657189989,7.40780719,1419.12361,0.3,49
GA_bot370,143.631508,-33.028722,1671.16935984,1498.9403649,172.22899494,21.5,0.17,0.63,5470.68224287824,6.54520868,1516.26219,0.3,49
GA_bot351,143.634978,-32.016907,1649.46976976,1532.8260686,116.64370116,22.4,0.15,0.5,5552.69123287529,6.89820776,1525.95875,0.3,49
GA_bot36,144.21909,-32.099577,1975.25970536,1801.5004844,173.75922096,22.3,0.16,0.44,5370.61470525984,6.31093924,1505.97274,0.3,49
DECCW1141,144.244275,-32.656563,1633.12142824,919.68842587,713.43300237,21.5,0.17,0.66,5400.99232581008,7.35445223,1496.60851,0.3,49
GA_bot74,144.795075,-32.539653,2816.2692825,2457.9556049,358.3136776,21.6,0.17,0.41,5387.27257617536,6.76391908,1489.39196,0.3,49
GA_bot69,145.588858,-33.075038,1953.92202851,1753.2660737,200.65595481,20.9,0.18,0.5,6660.69293953615,6.33797128,1477.44884,0.3,49
NSW001415,145.648279,-33.860224,1766.76193968,1565.4793061,201.28263358,20.4,0.2,0.96,6738.19549766017,7.05342289,1477.13095,0.3,49
NSW001447,145.651365,-33.857841,1845.96230408,1639.4794319,206.48287218,20.4,0.2,0.86,6741.40322207851,6.92557735,1471.89136,0.3,49
NSW001412,145.80491,-33.538021,1439.61475785,1202.3342732,237.28048465,20.3,0.2,0.64,5781.27277947641,6.2078971,1511.6058,0.3,49
S53,140.575567,-34.003525,4352.78214240076,2977.33235050355,1375.4497918972,20.5907737896216,0.158084832530712,0.354879752310136,3955.084487,7.2991922044754,1450.92738080025,0.3,49
S54,140.586171,-33.994082,4428.52841091156,3219.57338197792,1208.95502893364,20.5907737896216,0.158084832530712,0.355268686944299,3959.703229,7.24477255105972,1476.17613697052,0.3,49
S56,141.013211,-33.438375,4428.75780630111,3269.22784741816,1159.52995888295,21.5279487819281,0.148904255142185,0.269234590080761,3907.307082,6.70594119644165,1476.25260210037,0.3,49
S57,145.760704,-33.224781,4400.42415904998,3182.87871440694,1217.54544464304,20.6684435503323,0.183817147823773,0.521201046319169,4033.143659,6.0130631980896,1466.80805301666,0.3,49
S58,145.709101,-33.206362,4424.32067406177,3489.79705709288,934.523616968889,20.9288910763447,0.179200455789272,0.609661738653093,4042.054449,6.20767155885696,1474.77355802059,0.3,49
S59,145.717717,-33.200399,4422.73671770097,3558.0475415142,864.689176186773,20.9288910763447,0.179200455789272,0.48833579526079,4040.868207,6.38656676673889,1474.24557256699,0.3,49
S65,145.421458,-32.742814,4554.97641205788,3391.04671970955,1163.92969234833,20.7842527634304,0.172863217473031,0.523232893346974,4011.334614,6.02980450105667,1518.32547068596,0.3,49
S68,145.49274,-32.585832,4394.08475589753,3302.93906457065,1091.14569132688,20.7842527634304,0.172863217473031,0.460466672488792,3998.426097,6.2843348903656,1464.69491863251,0.3,49
S79,144.247527,-31.608156,4538.16213512421,3452.55542274642,1085.60671237779,22.6983072044647,0.160066966922008,0.590319929968145,4036.836854,6.8715988368988,1512.72071170807,0.3,49
S81,144.190169,-31.486486,4349.87622499467,3021.95571534892,1327.92050964575,22.6983072044647,0.160066966922008,0.423662054711347,4001.633669,6.68931572437286,1449.95874166489,0.3,49
